,name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
28,golden hour,209259,78,0.653,0.515,0.593,0.162,0.25,-4.801,94.467,0.153
29,Until I Found You (with Em Beihold) - Em Beihold Version,176440,84,0.777,0.551,0.55,0.0,0.202,-5.339,101.19,0.342
30,LALA,197920,84,0.0739,0.708,0.737,0.00162,0.0955,-4.045,91.986,0.607
31,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,82,0.0125,0.621,0.782,0.033,0.23,-5.548,128.033,0.55
32,Hey Mor,196600,80,0.00302,0.901,0.589,0.000237,0.0992,-6.713,98.002,0.399
33,CLASSY 101,195986,77,0.145,0.859,0.658,0.0,0.12,-4.79,100.065,0.672
34,Paint The Town Red,230480,80,0.255,0.864,0.556,3.85e-06,0.112,-7.683,99.974,0.726
35,Sweater Weather,240400,90,0.0495,0.612,0.807,0.0177,0.101,-2.81,124.053,0.398
36,Snooze,201800,89,0.141,0.559,0.551,0.0,0.11,-7.231,143.008,0.392
37,Blank Space,231826,81,0.103,0.76,0.703,0.0,0.0913,-5.412,95.997,0.57
38,Blinding Lights,200040,88,0.00143,0.513,0.73,9.54e-05,0.0897,-5.94,171.001,0.334
39,WHERE SHE GOES,231704,71,0.143,0.651,0.799,0.634,0.112,-4.02,143.992,0.223
40,Like Crazy,212241,88,0.0025,0.629,0.733,0.0,0.357,-5.445,120.001,0.362
41,Mockingbird,250760,86,0.209,0.637,0.678,0.0,0.156,-3.798,84.039,0.254
42,Escapism.,272373,79,0.138,0.538,0.742,4.67e-05,0.0934,-5.355,96.107,0.25
43,vampire,219724,87,0.154,0.484,0.53,0.0,0.263,-5.821,136.848,0.323
44,PRC,184066,72,0.0965,0.784,0.826,7.09e-05,0.123,-6.34,138.078,0.893
45,See You Again (feat. Kali Uchis),180386,89,0.371,0.558,0.559,7.49e-06,0.109,-9.222,78.558,0.62
46,Me Porto Bonito,178567,84,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,92.005,0.425
47,OMG,212253,80,0.357,0.804,0.771,3.07e-06,0.108,-4.067,126.956,0.739
48,AMG,174942,75,0.152,0.772,0.73,0.000107,0.274,-6.657,136.175,0.786
49,Romantic Homicide,132630,86,0.453,0.571,0.544,0.00805,0.322,-10.613,132.052,0.216
50,lovely (with Khalid),200185,87,0.934,0.351,0.296,0.0,0.095,-10.109,115.284,0.12
51,All The Stars (with SZA),232186,87,0.0612,0.695,0.633,0.000195,0.0926,-4.946,96.782,0.557
52,Natural,189466,80,0.217,0.704,0.611,0.0,0.0812,-6.112,99.994,0.22
53,One Kiss (with Dua Lipa),214846,85,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,123.994,0.592
54,Ric Flair Drip (with Metro Boomin),172800,84,0.149,0.88,0.428,5.05e-05,0.114,-8.28,100.007,0.333
55,Call Out My Name,228373,84,0.165,0.461,0.593,0.0,0.307,-4.954,134.165,0.174
56,Moonlight,135090,82,0.556,0.921,0.537,0.00404,0.102,-5.723,128.009,0.711
57,LOVE. FEAT. ZACARI.,213400,83,0.264,0.8,0.585,0.0,0.153,-7.343,126.058,0.779
58,Lucid Dreams,239835,82,0.349,0.511,0.566,0.0,0.34,-7.23,83.903,0.218
59,God's Plan,198973,82,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,77.169,0.357
60,Silence,180822,82,0.256,0.52,0.761,4.96e-06,0.17,-3.093,141.971,0.286
61,SICKO MODE,312820,82,0.00513,0.834,0.73,0.0,0.124,-3.714,155.008,0.446
62,rockstar (feat. 21 Savage),218146,81,0.124,0.585,0.52,7.75e-05,0.131,-6.136,159.798,0.129
63,Delicate,232253,80,0.216,0.75,0.404,0.000357,0.0911,-10.178,95.045,0.0499
64,SAD!,166605,80,0.258,0.74,0.613,0.00372,0.123,-4.88,75.023,0.473
65,In My Mind,184560,78,0.176,0.694,0.77,1.1e-05,0.118,-5.335,125.905,0.163
66,Yes Indeed,142273,78,0.0355,0.963,0.346,0.0,0.108,-9.309,119.957,0.562
67,Let You Down,212120,78,0.314,0.661,0.714,0.0,0.179,-5.68,147.998,0.464
68,Better Now,231266,79,0.331,0.674,0.578,0.0,0.135,-5.804,145.07,0.34
